number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
11,0.5740978880842452,2025-12-17 18:17:53.808271,2025-12-17 18:18:36.066666,0 days 00:00:42.258395,0.6194037072641805,0.003055052162673244,0.048364292488667505,3,1,1185,0.008405442175033598,7.2881848046827225,0.6002798276351993,COMPLETE
12,0.5714671385797895,2025-12-17 18:18:36.069610,2025-12-17 18:19:17.111172,0 days 00:00:41.041562,0.5938164957956602,0.0032080746355426033,0.04937618493560799,3,1,1195,0.05691988236631272,6.9129621061574875,0.6251344316154072,COMPLETE
13,0.5834650850857112,2025-12-17 18:19:17.113854,2025-12-17 18:19:47.153485,0 days 00:00:30.039631,0.6015775723395549,0.07316412814511877,0.04910887318089206,3,1,967,0.05717349072695223,6.3268078415220055,0.8838458878298645,COMPLETE
14,0.5871370752899915,2025-12-17 18:19:47.156057,2025-12-17 18:20:08.138981,0 days 00:00:20.982924,0.5009657949361133,0.12287650973477293,0.06311942808138936,4,3,693,0.06639544359937584,6.018657076004167,0.7042936806271888,COMPLETE
15,0.5762942182488066,2025-12-17 18:20:08.142910,2025-12-17 18:20:55.553048,0 days 00:00:47.410138,0.594943831612327,0.04759699741781925,0.039993834848811145,4,4,1067,0.05896350635234443,7.232411099830184,0.6476988857203649,COMPLETE
16,0.5861108022287362,2025-12-17 18:20:55.556161,2025-12-17 18:21:17.159494,0 days 00:00:21.603333,0.6221002340285703,0.13501254869091,0.06875603437294936,3,1,929,0.13687825240383944,4.931072073714082,0.8596582115085579,COMPLETE
17,0.5920707007848067,2025-12-17 18:21:17.162090,2025-12-17 18:21:43.354643,0 days 00:00:26.192553,0.5632804760898046,0.3015583505257629,0.0383250752703105,4,5,1101,0.037804438462440304,6.931646002019034,0.7356722998356799,COMPLETE
18,0.5863676151883606,2025-12-17 18:21:43.357250,2025-12-17 18:22:00.085177,0 days 00:00:16.727927,0.5013823323048933,0.19177255202309626,0.0683278392227088,3,2,653,0.07798643703608898,8.45081097042692,0.6601318862085838,COMPLETE
19,0.5838580727557191,2025-12-17 18:22:00.088201,2025-12-17 18:23:12.190737,0 days 00:01:12.102536,0.6418018327316025,0.0005277010075064844,0.04019756492812243,4,2,1198,0.0438671375801933,9.958188232222465,0.8613604698767433,COMPLETE
20,0.5874514944890655,2025-12-17 18:23:12.193459,2025-12-17 18:23:47.839773,0 days 00:00:35.646314,0.7329887426742181,0.08810369926592772,0.025091381946327644,3,5,1027,0.003453907759744773,5.427778326383374,0.7428333191258043,COMPLETE
